id	url	match_date_title	team_1	team_2	total_score	shoots_in_target_1	shoots_in_target_2	falls_1	falls_2	corners_1	corners_2	off_side_1	off_side_2	possession_1	possession_2	free_kicks_1	free_kicks_2	shots_from_gate_1	shots_from_gate_2	blocked_shots_1	blocked_shots_2	outs_1	outs_2	yellow_cards_1	yellow_cards_2	red_cards_1	red_cards_2
1103211	https://www.championat.com/football/_england/tournament/5467/match/1103211/	12 ноября 2023, воскресенье. 17:00 МСК	Ливерпуль	Брентфорд	3 : 0	17	16	16	12	6	8	2	2	59	41	14	18	10	7	3	4	20	12	1	2	0	0
1102977	https://www.championat.com/football/_england/tournament/5467/match/1102977/	10 февраля 2024, суббота. 18:00 МСК	Ливерпуль	Бёрнли	3 : 1	25	9	11	13	9	3	2	2	71	29	15	13	6	8	9	1	23	16	3	2	0	0
1103371	https://www.championat.com/football/_england/tournament/5467/match/1103371/	03 сентября 2023, воскресенье. 16:00 МСК	Ливерпуль	Астон Вилла	3 : 0	17	9	12	7	7	3	6	1	64	36	8	18	7	8	3	0	11	16	0	1	0	0
1103147	https://www.championat.com/football/_england/tournament/5467/match/1103147/	09 декабря 2023, суббота. 20:30 МСК	Астон Вилла	Арсенал	1 : 0	11	10	16	11	3	3	1	5	39	61	16	17	7	4	5	2	18	13	4	2	0	0
1102717	https://www.championat.com/football/_england/tournament/5467/match/1102717/	13 мая 2024, понедельник. 22:00 МСК	Астон Вилла	Ливерпуль	3 : 3	19	14	11	15	5	4	2	6	41	59	21	13	4	6	7	3	15	19	1	1	0	0
1102891	https://www.championat.com/football/_england/tournament/5467/match/1102891/	10 марта 2024, воскресенье. 16:00 МСК	Астон Вилла	Тоттенхэм Хотспур	0 : 4	10	9	11	15	6	4	5	2	31	69	17	16	6	4	7	3	15	15	0	2	1	0
1102791	https://www.championat.com/football/_england/tournament/5467/match/1102791/	14 апреля 2024, воскресенье. 16:00 МСК	Ливерпуль	Кристал Пэлас	0 : 1	21	8	10	10	11	1	2	5	70	30	15	12	2	11	4	2	21	23	1	1	0	0
1102845	https://www.championat.com/football/_england/tournament/5467/match/1102845/	31 марта 2024, воскресенье. 16:00 МСК	Ливерпуль	Брайтон энд Хоув Альбион	2 : 1	30	9	20	6	8	4	5	3	55	45	9	25	7	14	10	2	15	6	5	3	0	0
1102773	https://www.championat.com/football/_england/tournament/5467/match/1102773/	21 апреля 2024, воскресенье. 17:00 МСК	Астон Вилла	Борнмут	3 : 1	14	14	8	14	8	4	3	3	58	42	17	11	7	9	4	3	16	9	1	3	0	0
1103219	https://www.championat.com/football/_england/tournament/5467/match/1103219/	12 ноября 2023, воскресенье. 17:00 МСК	Астон Вилла	Фулхэм	3 : 1	12	9	4	17	2	2	3	7	51	49	24	7	3	4	1	0	12	9	2	5	0	0
1103273	https://www.championat.com/football/_england/tournament/5467/match/1103273/	21 октября 2023, суббота. 14:30 МСК	Ливерпуль	Эвертон	2 : 0	24	6	9	9	12	4	2	1	77	23	10	11	5	14	11	1	24	17	1	2	0	1
1103249	https://www.championat.com/football/_england/tournament/5467/match/1103249/	29 октября 2023, воскресенье. 17:00 МСК	Ливерпуль	Ноттингем Форест	3 : 0	22	8	9	13	8	3	1	3	74	26	16	10	5	13	4	3	20	6	2	3	0	0
1102923	https://www.championat.com/football/_england/tournament/5467/match/1102923/	21 февраля 2024, среда. 22:30 МСК	Ливерпуль	Лутон Таун	4 : 1	29	12	15	14	13	4	2	3	61	39	17	17	6	10	8	6	18	15	1	4	0	0
1103427	https://www.championat.com/football/_england/tournament/5467/match/1103427/	20 августа 2023, воскресенье. 16:00 МСК	Астон Вилла	Эвертон	4 : 0	13	9	8	12	7	6	1	1	63	37	13	9	8	5	2	4	12	13	3	4	0	0
1102813	https://www.championat.com/football/_england/tournament/5467/match/1102813/	06 апреля 2024, суббота. 17:00 МСК	Астон Вилла	Брентфорд	3 : 3	11	9	15	11	11	3	0	4	69	31	15	15	6	5	4	1	13	13	2	2	0	0
1102973	https://www.championat.com/football/_england/tournament/5467/match/1102973/	11 февраля 2024, воскресенье. 19:30 МСК	Астон Вилла	Манчестер Юнайтед	1 : 2	23	17	9	7	10	8	0	6	55	45	13	9	5	9	7	7	14	7	3	2	0	0
1102931	https://www.championat.com/football/_england/tournament/5467/match/1102931/	24 февраля 2024, суббота. 18:00 МСК	Астон Вилла	Ноттингем Форест	4 : 2	16	10	7	16	7	2	1	2	58	42	18	8	9	5	5	1	13	14	1	2	0	0
1103361	https://www.championat.com/football/_england/tournament/5467/match/1103361/	16 сентября 2023, суббота. 17:00 МСК	Астон Вилла	Кристал Пэлас	3 : 1	17	7	13	9	4	2	1	0	67	33	9	14	6	3	6	1	23	20	5	3	0	0
1103317	https://www.championat.com/football/_england/tournament/5467/match/1103317/	30 сентября 2023, суббота. 14:30 МСК	Астон Вилла	Брайтон энд Хоув Альбион	6 : 1	17	11	19	21	1	3	0	6	41	59	27	19	8	5	6	5	20	12	4	4	0	0
1102757	https://www.championat.com/football/_england/tournament/5467/match/1102757/	27 апреля 2024, суббота. 22:00 МСК	Астон Вилла	Челси	2 : 2	9	21	13	14	2	4	2	4	28	72	18	15	12	4	0	6	6	12	3	5	0	0
1103015	https://www.championat.com/football/_england/tournament/5467/match/1103015/	30 января 2024, вторник. 23:15 МСК	Астон Вилла	Ньюкасл Юнайтед	1 : 3	12	14	14	12	8	7	2	4	60	40	16	16	4	4	2	5	19	5	4	1	0	0
1102759	https://www.championat.com/football/_england/tournament/5467/match/1102759/	28 апреля 2024, воскресенье. 16:00 МСК	Тоттенхэм Хотспур	Арсенал	2 : 3	14	9	12	16	8	6	3	4	61	39	20	15	3	10	6	5	15	6	2	1	0	0
1103305	https://www.championat.com/football/_england/tournament/5467/match/1103305/	30 сентября 2023, суббота. 19:30 МСК	Тоттенхэм Хотспур	Ливерпуль	2 : 1	23	13	11	17	11	5	4	1	61	39	18	15	3	7	12	4	20	24	5	5	0	2
1103277	https://www.championat.com/football/_england/tournament/5467/match/1103277/	22 октября 2023, воскресенье. 18:30 МСК	Астон Вилла	Вест Хэм Юнайтед	4 : 1	15	13	9	15	8	7	1	3	59	41	18	10	4	7	2	5	10	12	0	1	0	0
